Year;Month;Day;Latitude;Longitude;AOD1
2000;2;26;  38.762;   9.058;  -1.000
2000;3;1;  38.762;   9.058;  -1.000
2000;3;3;  38.762;   9.058;  -1.000
2000;3;4;  38.762;   9.058;  -1.000
2000;3;5;  38.762;   9.058;  -1.000
2000;3;6;  38.762;   9.058;   0.180
2000;3;8;  38.762;   9.058;  -1.000
2000;3;11;  38.762;   9.058;  -1.000
2000;3;15;  38.762;   9.058;  -1.000
2000;3;20;  38.762;   9.058;   0.110
2000;3;22;  38.762;   9.058;  -1.000
2000;3;24;  38.762;   9.058;  -1.000
2000;3;28;  38.762;   9.058;  -1.000
2000;3;29;  38.762;   9.058;  -1.000
2000;4;7;  38.762;   9.058;   0.030
2000;4;9;  38.762;   9.058;  -1.000
2000;4;10;  38.762;   9.058;  -1.000
2000;4;11;  38.762;   9.058;  -1.000
2000;4;20;  38.762;   9.058;  -1.000
2000;4;21;  38.762;   9.058;  -1.000
2000;5;11;  38.762;   9.058;   0.050
2000;5;13;  38.762;   9.058;   0.110
2000;5;14;  38.762;   9.058;  -1.000
2000;5;20;  38.762;   9.058;   0.140
2000;5;21;  38.762;   9.058;  -1.000
2000;5;22;  38.762;   9.058;   0.290
2000;5;23;  38.762;   9.058;  -1.000
2000;6;1;  38.762;   9.058;  -1.000
2000;6;2;  38.762;   9.058;  -1.000
2000;6;3;  38.762;   9.058;   0.150
2000;6;5;  38.762;   9.058;  -1.000
2000;6;7;  38.762;   9.058;  -1.000
2000;6;10;  38.762;   9.058;  -1.000
2000;6;12;  38.762;   9.058;  -1.000
2000;6;19;  38.762;   9.058;  -1.000
2000;6;21;  38.762;   9.058;  -1.000
2000;7;18;  38.762;   9.058;   0.330
2000;10;11;  38.762;   9.058;  -1.000
2000;10;13;  38.762;   9.058;  -1.000
2000;10;14;  38.762;   9.058;  -1.000
2000;10;18;  38.762;   9.058;  -1.000
2000;10;30;  38.762;   9.058;   0.030
2000;10;31;  38.762;   9.058;  -1.000
2000;11;1;  38.762;   9.058;   0.070
2000;11;3;  38.762;   9.058;  -1.000
2000;11;15;  38.762;   9.058;  -1.000
2000;11;19;  38.762;   9.058;   0.040
2000;11;21;  38.762;   9.058;   0.060
2000;11;24;  38.762;   9.058;  -1.000
2000;11;25;  38.762;   9.058;  -1.000
2000;11;28;  38.762;   9.058;  -1.000
2000;11;29;  38.762;   9.058;  -1.000
2000;12;2;  38.762;   9.058;  -1.000
2000;12;3;  38.762;   9.058;  -1.000
2000;12;5;  38.762;   9.058;  -1.000
2000;12;7;  38.762;   9.058;   0.040
2000;12;14;  38.762;   9.058;   0.000
2000;12;18;  38.762;   9.058;  -1.000
2000;12;19;  38.762;   9.058;  -1.000
2000;12;21;  38.762;   9.058;  -1.000
2000;12;23;  38.762;   9.058;   0.060
2000;12;24;  38.762;   9.058;   0.080
2000;12;25;  38.762;   9.058;   0.050
2000;12;26;  38.762;   9.058;  -1.000
2000;12;27;  38.762;   9.058;   0.060
2000;12;28;  38.762;   9.058;  -1.000
2000;12;30;  38.762;   9.058;   0.150
2000;12;31;  38.762;   9.058;  -1.000
2001;1;1;  38.762;   9.058;  -1.000
2001;1;2;  38.762;   9.058;   0.260
2001;1;3;  38.762;   9.058;  -1.000
2001;1;4;  38.762;   9.058;  -1.000
2001;1;6;  38.762;   9.058;   0.190
2001;1;15;  38.762;   9.058;  -1.000
2001;1;16;  38.762;   9.058;  -1.000
2001;1;17;  38.762;   9.058;  -1.000
2001;1;19;  38.762;   9.058;  -1.000
2001;1;20;  38.762;   9.058;   0.110
2001;1;24;  38.762;   9.058;   0.130
2001;1;25;  38.762;   9.058;  -1.000
2001;1;31;  38.762;   9.058;   0.020
2001;2;1;  38.762;   9.058;  -1.000
2001;2;2;  38.762;   9.058;  -1.000
2001;2;3;  38.762;   9.058;  -1.000
2001;2;4;  38.762;   9.058;  -1.000
2001;2;5;  38.762;   9.058;   0.080
2001;2;7;  38.762;   9.058;   0.140
2001;2;14;  38.762;   9.058;   0.060
2001;2;16;  38.762;   9.058;   0.060
2001;2;17;  38.762;   9.058;  -1.000
2001;2;18;  38.762;   9.058;  -1.000
2001;2;19;  38.762;   9.058;  -1.000
2001;2;21;  38.762;   9.058;   0.110
2001;2;26;  38.762;   9.058;   0.090
2001;2;27;  38.762;   9.058;   0.030
2001;2;28;  38.762;   9.058;  -1.000
2001;3;2;  38.762;   9.058;   0.040
2001;3;9;  38.762;   9.058;  -1.000
2001;3;13;  38.762;   9.058;  -1.000
2001;4;3;  38.762;   9.058;   0.110
2001;4;14;  38.762;   9.058;   0.090
2001;4;15;  38.762;   9.058;  -1.000
2001;4;17;  38.762;   9.058;   0.000
2001;4;18;  38.762;   9.058;   0.090
2001;4;19;  38.762;   9.058;  -1.000
2001;4;25;  38.762;   9.058;  -1.000
2001;4;26;  38.762;   9.058;  -1.000
2001;5;3;  38.762;   9.058;  -1.000
2001;5;9;  38.762;   9.058;  -1.000
2001;5;14;  38.762;   9.058;  -1.000
2001;5;20;  38.762;   9.058;  -1.000
2001;5;21;  38.762;   9.058;   0.220
2001;5;27;  38.762;   9.058;  -1.000
2001;5;30;  38.762;   9.058;  -1.000
2001;6;1;  38.762;   9.058;  -1.000
2001;6;6;  38.762;   9.058;  -1.000
2001;7;6;  38.762;   9.058;  -1.000
2001;7;17;  38.762;   9.058;  -1.000
2001;8;11;  38.762;   9.058;  -1.000
2001;8;23;  38.762;   9.058;   0.320
2001;8;25;  38.762;   9.058;  -1.000
2001;9;19;  38.762;   9.058;  -1.000
2001;9;26;  38.762;   9.058;   0.160
2001;10;3;  38.762;   9.058;  -1.000
2001;10;9;  38.762;   9.058;   0.180
2001;10;14;  38.762;   9.058;   0.090
2001;10;21;  38.762;   9.058;  -1.000
2001;10;28;  38.762;   9.058;   0.030
2001;10;31;  38.762;   9.058;  -1.000
2001;11;1;  38.762;   9.058;  -1.000
2001;11;3;  38.762;   9.058;  -1.000
2001;11;4;  38.762;   9.058;   0.090
2001;11;6;  38.762;   9.058;  -0.010
2001;11;7;  38.762;   9.058;  -1.000
2001;11;8;  38.762;   9.058;   0.080
2001;11;9;  38.762;   9.058;  -1.000
2001;11;10;  38.762;   9.058;  -1.000
2001;11;11;  38.762;   9.058;   0.020
2001;11;12;  38.762;   9.058;  -1.000
2001;11;13;  38.762;   9.058;  -1.000
2001;11;15;  38.762;   9.058;   0.270
2001;11;16;  38.762;   9.058;  -1.000
2001;11;17;  38.762;   9.058;  -1.000
2001;11;22;  38.762;   9.058;   0.110
2001;11;23;  38.762;   9.058;   0.040
2001;11;24;  38.762;   9.058;   0.120
