Year;Month;Day;Latitude;Longitude;AOD1
2000;2;24;-118.201;  33.860;   0.210
2000;3;2;-118.201;  33.860;  -1.000
2000;3;10;-118.201;  33.860;   0.170
2000;3;11;-118.201;  33.860;   0.220
2000;3;14;-118.201;  33.860;   0.250
2000;3;17;-118.201;  33.860;   0.370
2000;3;18;-118.201;  33.860;  -1.000
2000;3;21;-118.201;  33.860;   0.150
2000;3;22;-118.201;  33.860;   0.200
2000;3;23;-118.201;  33.860;  -1.000
2000;3;26;-118.201;  33.860;  -1.000
2000;3;31;-118.201;  33.860;   0.200
2000;4;1;-118.201;  33.860;   0.020
2000;4;2;-118.201;  33.860;  -1.000
2000;4;3;-118.201;  33.860;   0.230
2000;4;4;-118.201;  33.860;  -1.000
2000;4;5;-118.201;  33.860;  -1.000
2000;4;8;-118.201;  33.860;   0.080
2000;4;9;-118.201;  33.860;  -1.000
2000;4;10;-118.201;  33.860;   0.030
2000;4;11;-118.201;  33.860;  -1.000
2000;4;19;-118.201;  33.860;   0.380
2000;4;20;-118.201;  33.860;   0.260
2000;4;24;-118.201;  33.860;   0.040
2000;4;29;-118.201;  33.860;   0.030
2000;4;30;-118.201;  33.860;   0.400
2000;5;1;-118.201;  33.860;  -1.000
2000;5;2;-118.201;  33.860;  -1.000
2000;5;3;-118.201;  33.860;   0.040
2000;5;4;-118.201;  33.860;  -1.000
2000;5;9;-118.201;  33.860;  -1.000
2000;5;11;-118.201;  33.860;  -1.000
2000;5;12;-118.201;  33.860;   0.020
2000;5;13;-118.201;  33.860;  -1.000
2000;5;15;-118.201;  33.860;  -1.000
2000;5;17;-118.201;  33.860;  -1.000
2000;5;18;-118.201;  33.860;  -1.000
2000;5;20;-118.201;  33.860;   0.620
2000;5;21;-118.201;  33.860;  -1.000
2000;5;26;-118.201;  33.860;   0.070
2000;5;27;-118.201;  33.860;  -1.000
2000;5;28;-118.201;  33.860;   0.050
2000;5;29;-118.201;  33.860;  -1.000
2000;5;30;-118.201;  33.860;  -1.000
2000;5;31;-118.201;  33.860;   0.120
2000;6;1;-118.201;  33.860;   0.400
2000;6;2;-118.201;  33.860;  -1.000
2000;6;3;-118.201;  33.860;  -1.000
2000;6;4;-118.201;  33.860;   0.880
2000;6;5;-118.201;  33.860;  -1.000
2000;6;6;-118.201;  33.860;   0.080
2000;6;7;-118.201;  33.860;  -1.000
2000;6;9;-118.201;  33.860;   0.140
2000;6;10;-118.201;  33.860;  -1.000
2000;6;11;-118.201;  33.860;   0.980
2000;6;12;-118.201;  33.860;  -1.000
2000;6;13;-118.201;  33.860;  -1.000
2000;6;14;-118.201;  33.860;  -1.000
2000;6;19;-118.201;  33.860;  -1.000
2000;6;22;-118.201;  33.860;   0.910
2000;6;23;-118.201;  33.860;  -1.000
2000;6;24;-118.201;  33.860;  -1.000
2000;6;26;-118.201;  33.860;   0.170
2000;6;28;-118.201;  33.860;  -1.000
2000;6;29;-118.201;  33.860;   0.360
2000;6;30;-118.201;  33.860;   0.290
2000;7;1;-118.201;  33.860;   0.350
2000;7;2;-118.201;  33.860;  -1.000
2000;7;4;-118.201;  33.860;  -1.000
2000;7;5;-118.201;  33.860;   0.300
2000;7;6;-118.201;  33.860;   0.430
2000;7;7;-118.201;  33.860;  -1.000
2000;7;8;-118.201;  33.860;  -1.000
2000;7;10;-118.201;  33.860;   0.620
2000;7;11;-118.201;  33.860;   0.510
2000;7;12;-118.201;  33.860;  -1.000
2000;7;13;-118.201;  33.860;   0.260
2000;7;14;-118.201;  33.860;  -1.000
